"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Czechia,"4,613,885",+983,"42,465",+5,"4,561,623","+1,364","9,797",45,"429,727","3,955","57,017,713","5,310,502","10,736,784",Europe
Canada,"4,591,149",,"51,249",,"4,505,125","+1,530","34,775",99,"119,597","1,335","66,343,123","1,728,207","38,388,419",North America
Peru,"4,486,665",+212,"219,485",+7,"4,265,173",+90,"2,007",34,"133,198","6,516","38,078,495","1,130,455","33,684,208",South America
Switzerland,"4,391,007",,"14,452",,"4,373,026",,"3,529",39,"500,477","1,647","23,833,472","2,716,487","8,773,637",Europe
Philippines,"4,076,858",+162,"66,143",+10,"4,001,665",+449,"9,050",162,"36,236",588,"34,629,611","307,794","112,508,994",Asia
South Africa,"4,064,889",,"102,595",,"3,912,506",,"49,788",192,"66,905","1,689","26,795,090","441,027","60,756,135",Africa
Romania,"3,340,342",,"67,704",,"3,263,301",,"9,337",115,"175,518","3,558","26,676,248","1,401,701","19,031,335",Europe
Denmark,"3,175,474",+69,"8,277",+3,"3,166,219",,978,19,"544,216","1,419","129,201,848","22,142,752","5,834,950",Europe
Hong Kong,"2,883,655",+42,"13,462",+1,"2,855,882","+2,334","14,311",28,"379,214","1,770","76,127,725","10,011,143","7,604,299",Asia
Sweden,"2,698,535",,"23,703",,"2,671,383",+312,"3,449",8,"264,071","2,320","19,477,620","1,906,026","10,218,971",Europe
Serbia,"2,495,808",+623,"17,847",+3,"2,463,552",+903,"14,409",10,"288,432","2,063","12,428,148","1,436,279","8,653,016",Europe
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia
Singapore,"2,230,570",,"1,722",,"2,149,583",,"79,265",1,"375,293",290,"24,756,666","4,165,302","5,943,546",Asia
New Zealand,"2,225,023","+1,634","3,917",+3,"2,211,755","+1,280","9,351",,"454,253",800,"7,768,604","1,586,011","4,898,203",Australia/Oceania
Hungary,"2,195,926",,"48,751",,"2,143,184",,"3,991",13,"228,593","5,075","11,394,556","1,186,160","9,606,259",Europe
Bangladesh,"2,037,829",,"29,445",,"1,998,448",,"9,936",N/A,"12,138",175,"15,254,399","90,862","167,885,689",Asia
Slovakia,"1,863,377",+139,"21,030",+1,"1,841,083",+84,"1,264",20,"341,266","3,852","7,405,734","1,356,314","5,460,193",Europe
Georgia,"1,825,598",,"16,965",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738",Asia
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia
Ireland,"1,703,850",,"8,691",,"1,692,612",,"2,547",12,"339,399","1,731","13,033,385","2,596,189","5,020,199",Europe
Pakistan,"1,577,119",+46,"30,643",,"1,538,689",,"7,787",7,"6,872",134,"30,570,862","133,213","229,488,994",Asia
Norway,"1,479,235",+27,"5,213",,"1,473,323",+47,699,20,"268,397",946,"11,002,430","1,996,315","5,511,370",Europe
Finland,"1,462,976",,"8,936",,"1,452,070",+140,"1,970",21,"263,364","1,609","12,047,792","2,168,835","5,554,960",Europe
Kazakhstan,"1,408,124",,"13,846",,"1,383,020",,"11,258",24,"73,321",721,"11,575,012","602,707","19,205,043",Asia
Slovenia,"1,329,775",+389,"7,074",+1,"1,318,364",+279,"4,337",8,"639,920","3,404","2,839,092","1,366,239","2,078,034",Europe
Lithuania,"1,306,276",+351,"9,594",+1,"1,290,412",+46,"6,270",7,"490,766","3,604","10,381,848","3,900,446","2,661,708",Europe
Bulgaria,"1,297,037",+31,"38,219",,"1,255,861",+2,"2,957",25,"189,498","5,584","11,061,733","1,616,126","6,844,597",Europe
Morocco,"1,272,486",+9,"16,296",,"1,256,124",+5,66,3,"33,688",431,"12,989,908","343,896","37,772,756",Africa
Croatia,"1,268,992",,"17,971",,"1,250,549",,472,10,"312,615","4,427","5,503,682","1,355,825","4,059,286",Europe
Guatemala,"1,237,335",,"20,177",,"1,216,061",,"1,097",5,"66,581","1,086","6,948,424","373,892","18,584,039",North America
Lebanon,"1,232,301",,"10,835",,"1,087,587",,"133,879",74,"184,342","1,621","4,795,578","717,380","6,684,849",Asia
Costa Rica,"1,204,164",,"9,230",,"860,711",,"334,223",52,"232,358","1,781","4,659,757","899,158","5,182,354",North America
Bolivia,"1,193,815",+165,"22,365",,"1,158,821",+281,"12,629",220,"99,546","1,865","2,705,422","225,590","11,992,656",South America
Tunisia,"1,150,962",,"29,331",,N/A,N/A,N/A,44,"95,542","2,435","5,002,248","415,240","12,046,656",Africa
Cuba,"1,112,622",+9,"8,530",,"1,104,004",+12,88,,"98,413",754,"14,319,601","1,266,588","11,305,652",North America
Ecuador,"1,057,121",,"36,014",,"1,020,564",,543,759,"58,361","1,988","3,082,403","170,173","18,113,361",South America
UAE,"1,052,519",+137,"2,349",,"1,035,507",+83,"14,663",,"104,398",233,"199,309,468","19,769,264","10,081,785",Asia
Uruguay,"1,034,303",,"7,617",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016",South America
Panama,"1,031,273",,"8,604",,"1,022,299",,370,16,"231,905","1,935","7,532,271","1,693,801","4,446,964",North America
Mongolia,"1,007,897",,"2,179",,"1,005,716",,2,192,"298,364",645,"4,030,048","1,193,000","3,378,078",Asia
Nepal,"1,001,149",,"12,020",,"989,122",+1,7,,"33,123",398,"6,013,984","198,970","30,225,582",Asia
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe
Latvia,"976,095",,"6,244",,"969,510",,341,13,"527,951","3,377","7,865,291","4,254,183","1,848,837",Europe
Saudi Arabia,"829,730",+106,"9,617",,"816,889",+74,"3,224",31,"23,148",268,"45,151,519","1,259,635","35,844,909",Asia
Azerbaijan,"828,682",+34,"10,127",+1,"818,366",+15,189,,"80,453",983,"7,531,433","731,193","10,300,205",Asia
Paraguay,"808,401",,"19,878",,N/A,N/A,N/A,7,"110,651","2,721","2,657,506","363,751","7,305,843",South America
Bahrain,"708,768",+236,"1,552",,"706,013",,"1,203",4,"397,295",870,"10,743,440","6,022,165","1,783,983",Asia
Sri Lanka,"672,032",,"16,830",,"655,202",+1,0,,"31,147",780,"6,486,117","300,619","21,575,842",Asia
